Model	Type	Row	Area	AreaAbs	Pattern	TimeStep	TotalCAsize	Neurons_Shared0	Neurons_Shared1	Neurons_Shared2	Neurons_Shared3
M01	pair33	2	5	11	P1	22	4	457#330#284#386			
M01	pair33	2	6	12	P1	22	1	354			
M01	pair33	1	1	1	P1	23	1				427
M01	pair33	1	2	2	P1	23	4	305#482#359			505
M01	pair33	1	3	3	P1	23	10	384#433#404#312#505	304		430#402#405#506
M01	pair33	1	4	4	P1	23	13	332#335#401#406#379			289#387#456#329#525#302#377#478
M01	pair33	1	5	5	P1	23	5				359#331#428#307#409
M01	pair33	1	6	6	P1	23	3		406	284#286	
M01	pair33	2	1	7	P1	23	1	433			
M01	pair33	2	2	8	P1	23	2	428#350			
M01	pair33	2	3	9	P1	23	8	353#355#358#427#525#403#407#284			
M01	pair33	2	4	10	P1	23	6	385#403#284#381#479			448
M01	pair33	2	5	11	P1	23	4	457#330#284#386			
M01	pair33	2	6	12	P1	23	1	354			
M01	pair33	1	1	1	P1	24	1				427
M01	pair33	1	2	2	P1	24	4	305#482#359			505
M01	pair33	1	3	3	P1	24	10	384#433#404#312#505	304		430#402#405#506
M01	pair33	1	4	4	P1	24	13	332#335#401#406#379			289#387#456#329#525#302#377#478
M01	pair33	1	5	5	P1	24	5				359#331#428#307#409
M01	pair33	1	6	6	P1	24	3		406	284#286	
M01	pair33	2	1	7	P1	24	1	433			
M01	pair33	2	2	8	P1	24	2	428#350			
M01	pair33	2	3	9	P1	24	8	353#355#358#427#525#403#407#284			
M01	pair33	2	4	10	P1	24	6	385#403#284#381#479			448
M01	pair33	2	5	11	P1	24	4	457#330#284#386			
M01	pair33	2	6	12	P1	24	1	354			
M01	pair33	1	1	1	P1	25	1				427
M01	pair33	1	2	2	P1	25	4	305#482#359			505
M01	pair33	1	3	3	P1	25	10	384#433#404#312#505	304		430#402#405#506
M01	pair33	1	4	4	P1	25	13	332#335#401#406#379			289#387#456#329#525#302#377#478
M01	pair33	1	5	5	P1	25	5				359#331#428#307#409
M01	pair33	1	6	6	P1	25	3		406	284#286	
M01	pair33	2	1	7	P1	25	1	433			
M01	pair33	2	2	8	P1	25	2	428#350			
M01	pair33	2	3	9	P1	25	8	353#355#358#427#525#403#407#284			
M01	pair33	2	4	10	P1	25	6	385#403#284#381#479			448
M01	pair33	2	5	11	P1	25	4	457#330#284#386			
M01	pair33	2	6	12	P1	25	1	354			
M01	pair33	1	1	1	P1	26	1				427
M01	pair33	1	2	2	P1	26	4	305#482#359			505
M01	pair33	1	3	3	P1	26	10	384#433#404#312#505	304		430#402#405#506
M01	pair33	1	4	4	P1	26	13	332#335#401#406#379			289#387#456#329#525#302#377#478
M01	pair33	1	5	5	P1	26	5				359#331#428#307#409
M01	pair33	1	6	6	P1	26	3		406	284#286	
M01	pair33	2	1	7	P1	26	1	433			
M01	pair33	2	2	8	P1	26	2	428#350			
M01	pair33	2	3	9	P1	26	8	353#355#358#427#525#403#407#284			
M01	pair33	2	4	10	P1	26	6	385#403#284#381#479			448
M01	pair33	2	5	11	P1	26	4	457#330#284#386			
M01	pair33	2	6	12	P1	26	1	354			
M01	pair33	1	1	1	P1	27	1				427
M01	pair33	1	2	2	P1	27	4	305#482#359			505
M01	pair33	1	3	3	P1	27	10	384#433#404#312#505	304		430#402#405#506
M01	pair33	1	4	4	P1	27	13	332#335#401#406#379			289#387#456#329#525#302#377#478
M01	pair33	1	5	5	P1	27	5				359#331#428#307#409
M01	pair33	1	6	6	P1	27	3		406	284#286	
